Customer Name,Ticket Open Time,Ticket Resp Time,Issue Res Time,Fault Type,Operator,Ticket Close Time,Ticket Status,Business Status,Zone Desc,State,Channel,Designation,Manager,Resolution SLA (Mins),Resp SLA (Seconds),Resolution Catgory,Response SLA pass,Resolution SLA pass,week_label
Lemway,2020-12-30 20:04:09,2020-12-30 20:04:36,2020-12-31 00:37:19,Routine Service,Goodluck,2021-01-01 08:20:11,Completed,Closed,North-West,SOKOTO,Social Media,Operator,Kerry,272.72,27.0,Critical,fail,fail,week 53
First,2020-12-30 19:13:06,2020-12-30 19:19:16,2020-12-30 22:33:42,Customers End,Jonathan,2020-12-31 07:56:27,Completed,Closed,South-West,LAGOS,Social Media,Operator,Kerry,194.43,370.0,Critical,fail,fail,week 53
Fidelity,2020-12-31 15:43:03,2020-12-31 15:50:50,2020-12-31 19:22:02,Customers End,Sekina,2021-01-01 07:32:19,Completed,Closed,North-West,KANO,Social Media,Operator,Victor,211.2,467.0,Critical,fail,fail,week 53
Jiji,2020-12-31 08:07:07,2020-12-31 08:13:51,2020-12-31 13:20:10,Customers End,Bola,2021-01-01 07:24:49,Completed,Closed,South-West,OGUN,Social Media,Operator,Victor,306.32,404.0,Critical,fail,fail,week 53
Jiji,2020-12-30 18:04:06,2020-12-30 18:04:52,2020-12-30 22:14:55,Line damage,Kingsley,2020-12-31 07:05:43,Completed,Closed,South-West,OGUN,Social Media,Operator,Kerry,250.05,46.0,Critical,fail,fail,week 53
Jiji,2020-12-29 20:13:11,2020-12-29 20:19:33,2020-12-30 00:38:58,Customers End,Atiku,2021-01-02 06:16:37,Completed,Closed,South-South,ANAMBRA,Social Media,Operator,Victor,259.42,382.0,Critical,fail,fail,week 53
Jiji,2020-12-31 18:04:10,2020-12-31 18:09:38,2020-12-31 21:10:59,Uknown,Myers,2025-11-16 09:23:19,Active,Open,North-East,YOBE,Social Media,Operator,Kerry,181.35,328.0,Critical,fail,fail,week 53
Jiji,2020-12-31 18:37:06,2020-12-31 18:44:34,2020-12-31 22:14:09,Uknown,Habeeb,2025-11-16 09:23:19,Active,Open,North-East,GOMBE,Social Media,Operator,Victor,209.58,448.0,Critical,fail,fail,week 53
Jiji,2020-12-30 16:58:16,2020-12-30 16:58:57,2020-12-30 22:10:31,Customers End,Sherifat,2021-01-02 06:30:33,Completed,Closed,North-East,GOMBE,Social Media,Operator,Victor,311.57,41.0,Critical,fail,fail,week 53
Jiji,2020-12-29 16:52:06,2020-12-29 16:58:22,2020-12-29 19:59:30,Customers End,Sekina,2020-12-30 14:30:15,Completed,Closed,North-East,GOMBE,Social Media,Operator,Victor,181.13,376.0,Critical,fail,fail,week 53
Jiji,2020-12-31 18:55:03,2020-12-31 19:02:18,2020-12-31 22:15:27,Uknown,Segun,2025-11-16 09:23:19,Active,Open,North-West,ZAMFARA,Social Media,Operator,Seun,193.15,435.0,Critical,fail,fail,week 53
Jiji,2020-12-29 18:10:04,2020-12-29 18:12:26,2020-12-29 21:42:31,Customers End,Vitus,2020-12-31 14:55:46,Completed,Closed,North-West,ZAMFARA,Social Media,Operator,Seun,210.08,142.0,Critical,fail,fail,week 53
Jiji,2020-12-30 20:58:07,2020-12-30 21:07:34,2020-12-31 02:37:43,Routine Service,Sherifat,2021-01-02 06:48:29,Completed,Closed,North-West,KANO,Social Media,Operator,Victor,330.15,567.0,Critical,fail,fail,week 53
Jiji,2020-12-29 20:28:04,2020-12-29 20:36:45,2020-12-30 02:06:25,Customers End,Atiku,2021-01-02 06:11:43,Completed,Closed,North-West,KANO,Social Media,Operator,Victor,329.67,521.0,Critical,fail,fail,week 53
Jiji,2020-12-30 17:28:03,2020-12-30 17:33:41,2020-12-30 22:42:26,Routine Service,Amelia,2021-01-02 06:25:44,Completed,Closed,North-East,BORNO,Social Media,Operator,Kerry,308.75,338.0,Critical,fail,fail,week 53
Jiji,2020-12-29 18:43:04,2020-12-29 18:44:29,2020-12-30 00:27:03,Customers End,Bola,2020-12-31 14:36:51,Completed,Closed,North-East,BORNO,Social Media,Operator,Victor,342.57,85.0,Critical,fail,fail,week 53
Jiji,2020-12-29 18:31:07,2020-12-29 18:35:53,2020-12-30 00:13:27,Customers End,Sherifat,2020-12-30 17:22:33,Completed,Closed,North-Central,KOGI,Social Media,Operator,Victor,337.57,286.0,Critical,fail,fail,week 53
Jiji,2020-12-31 03:37:13,2020-12-31 03:38:44,2020-12-31 09:24:08,Line damage,Brenda,2020-12-31 07:05:12,Completed,Closed,North-Central,NIGER,Social Media,Operator,Kerry,345.4,91.0,Critical,fail,fail,week 53
Jiji,2020-12-31 01:34:07,2020-12-31 01:39:12,2020-12-31 07:22:34,Line damage,Jonathan,2020-12-31 06:57:17,Completed,Closed,North-Central,NIGER,Social Media,Operator,Kerry,343.37,305.0,Critical,fail,fail,week 53
Jiji,2020-12-31 19:58:03,2020-12-31 19:58:35,2020-12-31 22:58:57,Uknown,Jennifer,2025-11-16 09:23:19,Active,Open,North-West,SOKOTO,Social Media,Operator,Kerry,180.37,32.0,Critical,fail,fail,week 53
Jiji,2020-12-30 20:43:04,2020-12-30 20:44:20,2020-12-30 23:55:38,Customers End,Habeeb,2021-01-01 08:19:49,Completed,Closed,North-West,SOKOTO,Social Media,Operator,Victor,191.3,76.0,Critical,fail,fail,week 53
Jiji,2020-12-29 18:52:06,2020-12-29 19:00:25,2020-12-29 23:39:30,Customers End,Sherifat,2020-12-31 14:35:57,Completed,Closed,North-West,SOKOTO,Social Media,Operator,Victor,279.08,499.0,Critical,fail,fail,week 53
JH,2020-12-30 23:47:30,2020-12-30 23:52:44,2020-12-31 05:25:47,Customers End,Amelia,2021-01-01 08:00:01,Completed,Closed,North-Central,FCT ABUJA,USSD,Operator,Kerry,333.05,314.0,Critical,fail,fail,week 53
Berger,2020-12-30 17:52:04,2020-12-30 17:59:11,2020-12-30 23:39:17,Customers End,Amelia,2020-12-31 20:06:42,Completed,Closed,South-South,RIVERS,Social Media,Operator,Kerry,340.1,427.0,Critical,fail,fail,week 53
Berger,2020-12-30 17:07:08,2020-12-30 17:15:33,2020-12-30 20:36:53,Customers End,Sherifat,2020-12-31 20:03:54,Completed,Closed,South-South,DELTA,Social Media,Operator,Victor,201.33,505.0,Critical,fail,fail,week 53
Jumlaa,2020-12-31 19:04:06,2020-12-31 19:10:38,2020-12-31 23:44:56,Routine Service,John,2021-01-01 07:05:28,Completed,Closed,South-South,DELTA,Social Media,Operator,Victor,274.3,392.0,Critical,fail,fail,week 53
Jumlaa,2020-12-29 16:49:04,2020-12-29 16:53:43,2020-12-29 20:11:08,Customers End,Vitus,2020-12-29 23:13:05,Completed,Closed,South-South,DELTA,Social Media,Operator,Seun,197.42,279.0,Critical,fail,fail,week 53
Kabo,2020-12-31 22:43:09,2020-12-31 22:53:40,2021-01-01 03:55:48,Customers End,Mary,2021-01-02 06:53:20,Completed,Closed,North-West,KATSINA,Social Media,Operator,Wale,302.13,631.0,Critical,fail,fail,week 53
Kabo,2020-12-30 23:04:03,2020-12-30 23:07:08,2020-12-31 04:46:11,Customers End,Brenda,2021-01-01 08:07:27,Completed,Closed,North-West,KATSINA,Social Media,Operator,Kerry,339.05,185.0,Critical,fail,fail,week 53
Kakawa,2020-12-31 17:22:05,2020-12-31 17:30:25,2020-12-31 21:51:29,Customers End,Sola,2021-01-02 06:42:24,Completed,Closed,South-West,OGUN,Social Media,Operator,Wale,261.07,500.0,Critical,fail,fail,week 53
Mav,2020-12-31 13:28:06,2020-12-31 13:33:46,2020-12-31 17:46:07,hardware failure,Atiku,2020-12-31 14:55:12,Completed,Closed,South-West,LAGOS,Social Media,Operator,Victor,252.35,340.0,Critical,fail,fail,week 53
Mav,2020-12-30 16:58:09,2020-12-30 17:06:15,2020-12-30 22:43:22,Customers End,Atiku,2020-12-31 07:18:05,Completed,Closed,South-West,LAGOS,Social Media,Operator,Victor,337.12,486.0,Critical,fail,fail,week 53
Mikano,2020-12-31 07:34:03,2020-12-31 07:41:28,2020-12-31 13:05:49,Customers End,Tunde,2021-01-01 07:13:55,Completed,Closed,North-East,BORNO,Social Media,Operator,Victor,324.35,445.0,Critical,fail,fail,week 53
Mikano,2020-12-30 20:04:04,2020-12-30 20:05:50,2020-12-31 00:31:26,Customers End,Jennifer,2020-12-31 07:18:58,Completed,Closed,North-East,BORNO,Social Media,Operator,Kerry,265.6,106.0,Critical,fail,fail,week 53
NDCC,2020-12-31 10:11:31,2020-12-31 10:13:11,2020-12-31 14:32:39,Customers End,Sekina,2020-12-31 14:56:33,Completed,Closed,South-South,EDO,Email,Operator,Victor,259.47,100.0,Critical,fail,fail,week 53
NDCC,2020-12-29 20:52:06,2020-12-29 20:57:36,2020-12-30 01:22:02,Customers End,Popoola,2020-12-30 01:00:54,Completed,Closed,South-South,EDO,Social Media,Operator,Seun,264.43,330.0,Critical,fail,fail,week 53
NPS,2020-12-31 17:04:28,2020-12-31 17:09:04,2020-12-31 20:37:29,Line damage,Myers,2021-01-01 07:32:59,Completed,Closed,North-East,BAUCHI,Social Media,Operator,Kerry,208.42,276.0,Critical,fail,fail,week 53
NPS,2020-12-29 15:40:06,2020-12-29 15:47:44,2020-12-29 19:27:02,Uknown,Myers,2025-11-16 09:23:19,Active,Open,North-West,SOKOTO,Social Media,Operator,Kerry,219.3,458.0,Critical,fail,fail,week 53
NPS,2020-12-31 04:52:06,2020-12-31 04:54:31,2020-12-31 10:08:52,Line damage,Bola,2020-12-31 21:45:27,Completed,Closed,North-Central,NIGER,Social Media,Operator,Victor,314.35,145.0,Critical,fail,fail,week 53
NPS,2020-12-31 03:37:15,2020-12-31 03:39:56,2020-12-31 07:59:21,Line damage,Goodluck,2020-12-31 07:05:14,Completed,Closed,North-Central,NIGER,Social Media,Operator,Kerry,259.42,161.0,Critical,fail,fail,week 53
NTAS,2020-12-31 23:19:03,2020-12-31 23:26:38,2021-01-01 04:06:08,Customers End,Boye,2021-01-01 13:01:36,Completed,Closed,South-East,ENUGU,Social Media,Operator,Wale,279.5,455.0,Critical,fail,fail,week 53
NTAS,2020-12-29 23:52:04,2020-12-29 23:54:50,2020-12-30 03:11:28,Customers End,Popoola,2020-12-30 12:12:13,Completed,Closed,South-East,ENUGU,Social Media,Operator,Seun,196.63,166.0,Critical,fail,fail,week 53
NTAS,2020-12-31 00:22:09,2020-12-31 00:24:49,2020-12-31 05:03:37,Routine Service,Sheg,2020-12-31 21:27:31,Completed,Closed,South-South,DELTA,Social Media,Operator,Seun,278.8,160.0,Critical,fail,fail,week 53
NTAS,2020-12-31 19:04:02,2020-12-31 19:14:31,2020-12-31 22:21:36,Line damage,Jonathan,2020-12-31 22:30:56,Completed,Closed,North-East,BAUCHI,Email,Operator,Kerry,187.08,629.0,Critical,fail,fail,week 53
NTAS,2020-12-30 20:35:11,2020-12-30 20:44:37,2020-12-31 01:17:39,Customers End,John,2020-12-31 21:14:16,Completed,Closed,South-West,OSUN,Chatbot,Operator,Victor,273.03,566.0,Critical,fail,fail,week 53
Olando,2020-12-31 17:04:19,2020-12-31 17:14:06,2020-12-31 21:44:41,Uknown,Sekina,2025-11-16 09:23:19,Active,Open,South-West,EKITI,Social Media,Operator,Victor,270.58,587.0,Critical,fail,fail,week 53
ROCAD,2020-12-30 14:37:03,2020-12-30 14:46:08,2020-12-30 17:48:27,Customers End,Goodluck,2020-12-30 23:50:10,Completed,Closed,South-East,ENUGU,Social Media,Operator,Kerry,182.32,545.0,Critical,fail,fail,week 53
ROCAD,2020-12-29 19:16:03,2020-12-29 19:16:12,2020-12-30 00:54:31,Routine Service,Amelia,2020-12-30 13:15:19,Completed,Closed,South-South,ANAMBRA,Social Media,Operator,Kerry,338.32,9.0,Critical,pass,fail,week 53
ROCAD,2020-12-31 18:46:03,2020-12-31 18:49:28,2020-12-31 21:56:40,Routine Service,Brenda,2021-01-01 06:20:30,Completed,Closed,South-South,ANAMBRA,Social Media,Operator,Kerry,187.2,205.0,Critical,fail,fail,week 53
ROCAD,2020-12-30 15:28:04,2020-12-30 15:35:32,2020-12-30 20:47:07,Customers End,Jonathan,2020-12-31 19:57:51,Completed,Closed,South-East,IMO,Social Media,Operator,Kerry,311.58,448.0,Critical,fail,fail,week 53
ROCAD,2020-12-31 11:10:06,2020-12-31 11:14:22,2020-12-31 15:51:09,Customers End,Kola,2021-01-01 13:21:07,Completed,Closed,South-East,IMO,Social Media,Operator,Wale,276.78,256.0,Critical,fail,fail,week 53
ROCAD,2020-12-31 03:19:05,2020-12-31 03:21:15,2020-12-31 06:34:43,Routine Service,Kola,2020-12-31 23:03:04,Completed,Closed,South-East,IMO,Social Media,Operator,Wale,193.47,130.0,Critical,fail,fail,week 53
ROCAD,2020-12-29 13:13:03,2020-12-29 13:15:40,2020-12-29 18:41:28,Customers End,Jennifer,2020-12-29 16:46:03,Completed,Closed,South-East,IMO,Social Media,Operator,Kerry,325.8,157.0,Critical,fail,fail,week 53
Spring,2020-12-31 06:55:06,2020-12-31 07:03:17,2020-12-31 10:03:32,Customers End,Sekina,2021-01-01 07:14:11,Completed,Closed,North-Central,FCT ABUJA,Social Media,Operator,Victor,180.25,491.0,Critical,fail,fail,week 53
Sterling,2020-12-31 23:04:13,2020-12-31 23:14:50,2021-01-01 02:50:04,Line damage,Bukky,2021-01-02 06:29:02,Completed,Closed,South-West,LAGOS,Social Media,Operator,Wale,215.23,637.0,Critical,fail,fail,week 53
Sterling,2020-12-31 23:58:03,2021-01-01 00:00:47,2021-01-01 05:34:24,Customers End,Fola,2021-01-01 13:02:50,Completed,Closed,South-East,EBONYI,Social Media,Operator,Wale,333.62,164.0,Critical,fail,fail,week 53
Sterling,2020-12-31 22:43:04,2020-12-31 22:46:33,2021-01-01 01:55:21,Customers End,Sola,2021-01-01 13:00:30,Completed,Closed,South-East,EBONYI,Social Media,Operator,Wale,188.8,209.0,Critical,fail,fail,week 53
Sterling,2020-12-31 17:04:04,2020-12-31 17:09:26,2020-12-31 21:26:45,Line damage,Myers,2020-12-31 22:36:09,Completed,Closed,North-East,BAUCHI,Social Media,Operator,Kerry,257.32,322.0,Critical,fail,fail,week 53
Sterling,2020-12-29 14:04:07,2020-12-29 14:09:29,2020-12-29 18:55:17,Line damage,Myers,2020-12-29 16:50:08,Completed,Closed,North-West,KEBBI,Social Media,Operator,Kerry,285.8,322.0,Critical,fail,fail,week 53
Tidel,2020-12-30 17:19:04,2020-12-30 17:20:35,2020-12-30 22:54:39,Routine Service,Jennifer,2021-01-01 00:08:55,Completed,Closed,South-East,IMO,Social Media,Operator,Kerry,334.07,91.0,Critical,fail,fail,week 53
Tidel,2020-12-29 17:04:03,2020-12-29 17:08:18,2020-12-29 21:20:30,Customers End,Bola,2020-12-30 13:22:52,Completed,Closed,South-East,IMO,Social Media,Operator,Victor,252.2,255.0,Critical,fail,fail,week 53
Transnational,2020-12-31 09:47:58,2020-12-31 09:48:06,2020-12-31 12:56:33,hardware failure,Fola,2021-01-02 05:00:02,Completed,Closed,South-East,ENUGU,Email,Operator,Wale,188.45,8.0,Critical,pass,fail,week 53
Transnational,2020-12-31 17:40:03,2020-12-31 17:42:29,2020-12-31 21:48:16,Line damage,Goodluck,2020-12-31 22:32:31,Completed,Closed,South-West,ONDO,Social Media,Operator,Kerry,245.78,146.0,Critical,fail,fail,week 53
Transnational,2020-12-31 10:55:04,2020-12-31 10:55:48,2020-12-31 14:09:06,Line damage,Sekina,2020-12-31 22:42:10,Completed,Closed,North-West,ZAMFARA,Social Media,Operator,Victor,193.3,44.0,Critical,fail,fail,week 53
Transnational,2020-12-30 14:40:04,2020-12-30 14:50:28,2020-12-30 20:12:37,Uknown,John,2025-11-16 09:23:19,Terminated,Terminated,North-West,ZAMFARA,Social Media,Operator,Victor,322.15,624.0,Critical,fail,fail,week 53
Transnational,2020-12-30 14:34:56,2020-12-30 14:36:07,2020-12-30 18:57:45,Line damage,John,2020-12-30 23:56:09,Completed,Closed,North-West,ZAMFARA,Phone Call,Operator,Victor,261.63,71.0,Critical,fail,fail,week 53
Transnational,2020-12-30 07:40:03,2020-12-30 07:40:25,2020-12-30 10:56:33,Line damage,Sheg,2020-12-30 12:08:20,Completed,Closed,North-West,ZAMFARA,Social Media,Operator,Seun,196.13,22.0,Critical,fail,fail,week 53
Transnational,2020-12-30 18:30:50,2020-12-30 18:33:57,2020-12-30 22:48:04,Customers End,Bola,2020-12-31 22:46:09,Completed,Closed,North-West,ZAMFARA,Phone Call,Operator,Victor,254.12,187.0,Critical,fail,fail,week 53
Transnational,2020-12-31 09:49:09,2020-12-31 09:59:18,2020-12-31 13:12:54,Support network failures,Bola,2020-12-31 22:21:27,Completed,Closed,North-Central,PLATEAU,Social Media,Operator,Victor,193.6,609.0,Critical,fail,fail,week 53
Transnational,2020-12-31 00:52:07,2020-12-31 00:52:15,2020-12-31 04:56:57,Line damage,Atiku,2020-12-31 21:25:27,Completed,Closed,North-Central,PLATEAU,Social Media,Operator,Victor,244.7,8.0,Critical,pass,fail,week 53
Transnational,2020-12-31 17:04:14,2020-12-31 17:08:43,2020-12-31 21:51:46,Line damage,Kingsley,2020-12-31 22:34:36,Completed,Closed,North-East,BAUCHI,Social Media,Operator,Kerry,283.05,269.0,Critical,fail,fail,week 53
